Timestamp,Reviewer name,Example name,Example URL,How many lines long is the example?,Please select the programming concepts used in this example.,Please select the development and programming concepts this example demonstrates well.,"Copy and past the code into this analyzer:  https://editor.p5js.org/cfoss/full/T7fRjDnjW
Paste the output text here. Check for errors and edit as needed.","From the list above, which items are a clearly demonstrated focus of this example?","Please select all tags that describe this example (including its category, themes, end goal, etc.).","If there are any additional terms that could be used as tags to describe this example, list them here:",What senses are required to fully engage with what the sketch renders?,Is/are the color contrast(s) in the resulting render high enough so that the visitor can clearly understand what is being demonstrated? (Use the WebAIM Color Contrast checker at WCAG AA requirements.),"If there is a visual render, is the resulting render animated?","If there is a visual render and it is animated, does the animation automatically start when the page loads?","If there is a visual render and it is animated, does the render produce quick flashing lights? (See WCAG 2.3.1 for more information.)","If you have any additional notes on accessibility, include them here.",Is there a paragraph section above the example sketch?,Use the Hemmingway App to evaluate the reading level of the intro paragraph.,"If the paragraph contains any dev terms or concepts that should link to any p5.js Reference pages and/or external assisting content, such as MDN docs or W3C docs, please copy and paste the term or concept in the text input below.",Note any typos or spelling errors in the introductory paragraph.,"If the paragraph includes any content that does not read as both friendly & formal, note it here.","If the paragraph includes any content that does not translate well between generations and cultures, note it here.","If the paragraph includes any irrelevant/distracting content, note it here.","If you have any additional notes about the introduction paragraph, include them here.",How would you rate the number of comments in terms of assisting the reader through the code?,Note any typos or spelling errors in the comments.,"If the comments include any content that does not read as both friendly & formal, note the line number and content here.","If the comments include any content that does not translate well between generations and cultures, note the line number and content here.","If the comments include any irrelevant/distracting content, note the line number and content here.","If you have any additional notes about the comments, include them here.","What programming techniques or parts of the API, if any, do not need to be included in this example?",How fragile is the example with change?,"If you have any additional notes about the quality of the demonstration, include them here.",Are any variable and/or function names abbreviated?,How clear and descriptive are the names for variables and defined functions?,Does it use prototype syntax?,Are any variables declared using the var keyword?,"If there is anything about the code itself that appears out of date or could be better implemented and is not captured by the questions above, note that here.","Is the ""this"" keyword used?",Is the const keyword used?,What units are used for angles?,"If angles in degrees are used, which of these functions are called?",How many global variables are declared?,How many local variables are declared?,How many object properties (excluding functions) are declared?,How many object methods are declared (including constructor)?,Does it use arrow functions?,"Does it use variable increment/decrement/relative assignment operators?
",How would you label the difficulty of this example?,"If you have any additional notes about the skill level, include them here.","In your opinion, how would you rate the helpfulness of this example to someone learning creative coding through p5?","If you have any additional notes on this example not captured by the previous questions, include them here."
10/29/2023 12:12:21,Darren Kessner,Arctangent (Advanced) : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/2yRK0w1q6,45,"for loop, custom variables, custom functions, custom classes, method calling, object property assignment","for loop, custom variables, custom functions, custom classes, method calling, object property assignment","atan2, background, createCanvas, draw, ellipse, fill, mouseClicked, mouseX, mouseY, noStroke, pop, push, random, rotate, setup, translate","atan2, push/pop, mouseClicked","animation, math, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,,No,,,,,,,,1,,,,,,,3,,No,5,No,No,,No,No,Radians,N/A or neither,1,3,4,2,No,Yes,Advanced,"Advanced:  uses array of objects, transformations, atan2",8,This is an improved version of the Arctangent example (https://p5js.org/examples/math-arctangent.html) that is more interactive and also demonstrates the use of an array.
10/29/2023 12:04:56,Darren Kessner,Arctangent (Simple) : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/jaiw_N5sb,25,none of the above,none of the above,"atan2, background, createCanvas, draw, ellipse, fill, mouseX, mouseY, pop, push, rotate, setup, translate","atan2, push/pop, translate/rotate","math, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,,No,,,,,,,,1,,,,,,,3,This is a simpler demonstration of atan2 compared to the Arctangent example (https://p5js.org/examples/math-arctangent.html),No,5,No,No,,No,No,Radians,N/A or neither,0,0,0,0,No,No,Intermediate,Intermediate for the math (atan2) and transformations (push/pop/translate/rotate),7,
11/2/2023 2:18:31,Lance Cole,Arduino sensor data via WebJackArduino sensor data via WebJack,https://p5js.org/examples/interaction-arduino-sensor-data-via-webjack.html,20,method calling,method calling,"background, createCanvas, ellipse, fill, log, noStroke, setup","background, createCanvas, ellipse, fill, log, noStroke, setup",sound,,Auditory,"I had a hard time getting the sketch to work on its own and tested audio, let alone w/ an Arduino Uno.",,,,,Yes,Grades 7 and above,"index.html, loading libraries into p5js, arduino, loading and creating sketches w/ arduino, adding libraries to arduino, interfacing Arduino w/ p5, ",,,,,"Honestly, I think the way the intro paragraph is written as a whole is very messy and a bit hard to follow through, especially for our standpoint of a ""learning beginner"". It's extremely terse, assumes one knows about p5, arudino, github, likely combing through some documentation, etc (which is fine, but at the very least needs to be clearly stated as requirements to either be learned beforehand or throughout the process) and overall needs an entire rewrite, in my opinion.",3,,,,,"I assume the comments are fine enough, but I haven't been able to actually see the sketch in action.",,3,"I personally couldn't get it working with either an Arduino or the ""test audio"". Within the p5 editor, a RefernceError:

""
ReferenceError: webkitAudioContext is not defined
    at Class.init (https://webjack.io/dist/webjack.js:663:44)

    at new Class (https://webjack.io/dist/webjack.js:63:19)

    at (anonymous function) (https://jywarren.github.io/p5-webjack/lib.js:15:20)

    at (anonymous function) (https://cdnjs.cloudflare.com/ajax/libs/p5.js/0.8.0/addons/p5.sound.min.js:24:4838)
""

Additionally, looking on webjack's site, it seems much more than initially let on in the example page is necessary, such as node, the SoftModem library, a circuit or shield being ""strongly recommended"", and seems like a much more multidisciplinary example than any other example I've seen so far. 

Mind you, this is extremely interesting concepts on its own time, but I'd be skeptical of someone learning coding and p5 on their own to: 
a) have an Uno/ATMega board, 
b) have some knowledge of including and embedding libraries in p5 or even node, 
c) know the basics of Arduino entirely separately from learning p5, 
d) understand at least at a basic level how interoperability works between Arduino, p5, possibly node, etc,
e) be able to synthesize all of this with the example page at hand.

I think a overall lookover of this sketch specifically would be a good start, not necessarily because what I was going through couldn't be debugged by someone with the knowledge to do so, but moreso breaking the ""press this thing and it does that thing"" streak that the p5 examples seemingly strive to have.",No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,No,Advanced,,1,
11/2/2023 0:38:57,Lance Cole,Arm,https://p5js.org/examples/transform-arm.html,41,"custom variables, custom functions, method calling","custom variables, custom functions, method calling","background, createCanvas, draw, float, height, line, mouseX, mouseY, PI, pop, push, rotate, setup, stroke, strokeWeight, translate, TWO_PI, width","draw, float, height, line, mouseX, mouseY, PI, pop, push, rotate, setup, stroke, strokeWeight, translate, TWO_PI, width","animation, math, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,Yes,Grades 7 and above,"transform, matrix, mouseX/Y, push, pop, rotate",,,,,,5,,,,,,,1,,Yes,5,No,No,,No,No,Degrees,N/A or neither,5,0,0,0,No,No,Intermediate,,7,
10/25/2023 1:10:32,Lance Cole,Array,https://p5js.org/examples/arrays-array.html,35,"for loop, custom variables, method calling, object property assignment","for loop, custom variables, method calling, object property assignment","abs, background, cos, createCanvas, draw, height, line, map, noLoop, PI, setup, stroke, width","background, createCanvas, draw, height, line, map, setup, stroke, width, ","data visualization, math",,Visual,No,No,,,"Even outside of accessibility, the monochrome color scheme along with the smaller subdivision of lines makes it extremely hard to parse what exactly should be going on and be changed inside the patch, in my opinion.",Yes,Grade 5 and below,,,,,,,1,,,,,"This sort of patch could do with multiple comments, maybe even a line-by-line explanation of what each thing does. If we're assuming full-on beginner, I would even start with the first line with something along the lines of ""here, an empty array 'coswave' is created"" and go down for the canvas creation, what each loop does, etc, along with linking to the relevant API documentation within the sketch.",,1,"I believe it's very hard to get a grasp of exactly ""what"" is going on, or what even should be changed in the code past maybe messing around with the random ""magic numbers"". I'd suggest setting the otherwise ""random"" looking numbers within the loops to globally defined variables such as ""max_brightness = 255"", "" array_division = 3"", etc, along with much more direct commenting on what things like noLoop(), stroke(), and things like the for loops do within the patch, and places for a new person to have a lot more of a ""changing this has this direct, defined action on the patch"" experience. ",Yes,3,No,No,Just much more commenting and direction as explained before.,No,No,N/A,N/A or neither,1,6,0,0,No,Yes,Intermediate,"It's not so bad for someone with previous coding experience, but there are zero comments or directions as to how the code works, why the lines are being made the way they are, why the numbers 255, 3, height, y1, y2, amount, and etc pop up throughout the code, or things like coswave[i] = abs(cos(amount)) work themselves out, and would likely be daunting to someone coming in fresh.",3,
10/25/2023 2:02:08,Lance Cole,Array 2D,https://p5js.org/examples/arrays-array-2d.html,32,"for loop, custom variables, object literal, method calling, object property assignment","for loop, custom variables, object literal, method calling, object property assignment","background, createCanvas, dist, draw, height, noLoop, point, setup, stroke, width","background, createCanvas, dist, draw, height, point, setup, stroke, width","data visualization, math",,Visual,No,No,No,No,,Yes,Grade 6,,,,,,"I think the wording of the sentence ""2D arrays are useful for storing images."" could be a bit broader in the kinds of data that can be stored in them (read: anything), and not just images. Along with that, I think a sentence or two expanding on how accessing index values would be nice, such as ""ex: arr[2][3] would translate to the element at row two, column three"" or something like that.",2,,,,,"I think some commenting on the methodology behind why maxDistance is calculated the way it is would be nice, along with explaining what spacer stands in for. ",,1,"Maybe renaming the spacer variable a bit to something like ""point_spacing"" or ""space_between_dots"" or something along those lines would be a bit more immediately recognizable in what each variable or thing does.",No,3,No,No,,No,No,N/A,N/A or neither,3,4,0,0,No,Yes,Intermediate,"Honestly, the code itself isn't too crazy. A bit more description on what API functions like dist(), background(), and stroke() do would be healthy, and maybe a comment on the nested loops on how the nested arrays and loops are being traversed would be appreciated.",6,
10/25/2023 2:21:31,Lance Cole,Array Objects,https://p5js.org/examples/arrays-array-objects.html,68,"for loop, custom variables, custom functions, object literal, custom classes, method calling, object property assignment","for loop, custom variables, custom functions, object literal, custom classes, method calling, object property assignment","background, createCanvas, draw, ellipse, fill, height, noStroke, random, setup, width","background, createCanvas, draw, ellipse, fill, height, noStroke, random, setup, width","animation, data visualization, math",,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,,,,,,"A primer on ""what"" an object is in Javascript, and also how customs constructors and assignments and methods work would be great here. Some official links to the MDN Javascript documentation on classes along with this would also be very helpful for a newcomer to coding or P5. ",3,,,,,"Could do with some more explanatory comments for the Module class, like making sure people know that calling something like ""mods[i].update();"" updates *each* individual module object in a loop, and how each generated Module/class is its own individual instantiation.

Also some more commenting on the nested for loop in the setup() function and what explicitly we are doing in setup would go a long way as well.",,1,,No,3,No,No,"Maybe some variable renaming such as Module.xOff to Module.xOffset, and perhaps putting the globals at the top to better illustrate that these are global variables, but nothing crazy.",No,No,N/A,N/A or neither,3,6,6,3,No,Yes,Advanced,"To be honest, I'm a bit shaky on how exactly to rate the difficulty, because how everything works fundamentally makes sense. I believe a bit heavier commenting/documentation on how objects and their inner mechanics work in Javascript and P5 API things like noStroke() or could go a long ways. Also some additional exposition on lines like: 

mods[index++] = new Module(...

and why index++ is a thing and what it does here, what mods is even used for (as an array holding a number of Module instances, but it would be a bit odd to assume people know this if this patch specifically is their first introduction to Javascript objects, or even to P5 itself).",6,
10/27/2023 10:21:17,Caleb,Array of Objects,https://p5js.org/examples/objects-array-of-objects.html,37,"for loop, custom variables, custom classes, method calling, object property assignment","custom classes, object property assignment","background, createCanvas, draw, ellipse, height, random, setup, width",none,"animation, simulation","Object Oriented Programming, Array",Visual,Yes,Yes,Yes,No,Animation is so subtle that it may be difficult for some users to clearly perceive,Yes,Grades 7 and above,Classes:  https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Classes  Array:  https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array,,,,"""Jitter class"" reads like an established term and could be better described/introduced",Too short,2,,,,,,,3,,No,2,No,No,A for... of loop could simplify the syntax on line 14,Yes,No,N/A,N/A or neither,1,1,4,3,No,Yes,Intermediate,,7,
10/26/2023 22:34:41,Lance Cole,Background Image,https://p5js.org/examples/image-background-image.html,23,"if/else, custom variables, method calling","if/else, custom variables, method calling","background, createCanvas, draw, height, line, loadImage, setup, stroke, width","background, createCanvas, draw, height, line, loadImage, setup, stroke, width",animation,"image, background, ",Visual,See below comments,Yes,Yes,No,"It's a bit hard to use the contrast checker on this patch due to the moving line, but I can personally say the yellow line is quite thin, and gets a bit easy to lose focus on over time. I'd thicken the line and change the stroke to something a bit more gaudy/easily contrasted with the background space image.",Yes,Grade 6,,,,,,"In the second sentence, ""To load an image as the background, it must be the same width and height as the program"", I'd change ""program"" to ""canvas size"" to better illustrate what exactly we need to size up against.",3,,,,,"I'd definitely appreciate some comments on the line movement code, and also what the globals are supposed to represent, especially the y variable. I'd also appreciate a comment on *why* the line is even here in the first place, and what it's supposed to show/represent.

Also, even with changing the canvas size, *technically* the bg image doesn't *need* to be the same size. I'd add a footnote that the background image must be the same size as the createCanvass method paramaters to FULLY SHOW the image, or else it will be cut off somewhat.

Also a link to the background() p5 API page, and making it clear somewhere that the background() method accepts multiple forms of input, and that the background is being ""filled"" by the image.",,1,"I would definitely make sure to note somewhere that the line represents the ""foreground"" of the patch, and is there to show that the background ""fill"" is the image itself, and the rest of the patch runs on top of the background. For that matter, it would be a great time to expand on how code is run within JS and p5, and that it is a top to bottom, ""this line is run/rendered before this line"" iterative sort of thing. This would make this random moving line much less of a mystery to people, since even I was wondering what this random, kind of hard to see yellow line was scanning down the image for.",No,2,No,No,Definitely would change y to line_y_position or something to make sure people know that y is for changing the line's position. ,No,No,N/A,N/A or neither,2,0,0,0,No,Yes,Beginner,"Similarly to the Load/Display Images example, the difficulty of the sketch itself isn't the issue, but rather knowing how to upload images to p5, or even running your own local server to be able to serve your own content to a local environment. The lack of explanation on why the line is there also makes understanding the purpose of a patch likely much harder than it really needs to be (image is in background, line is in foreground and it used to show the image is...well, in the background.)",6,
10/29/2023 17:24:39,Caleb,Basic Shader,https://p5js.org/examples/3d-basic-shader.html,22,custom variables,none of the above,"createCanvas, draw, height, loadShader, preload, rect, setup, shader, translate, WEBGL, width","loadShader, shader, WEBGL",3D,,Visual,Yes,No,,,,Yes,Grade 5 and below,,,,,,,5,,,,,,,4,,No,4,No,No,"The vertex shader breaks matrix transformations, so functions like translate will not work",No,No,N/A,N/A or neither,1,0,0,0,No,No,Advanced,,6,
10/31/2023 13:44:52,Lance Cole,Bezier,https://p5js.org/examples/form-bezier.html,22,"for loop, custom variables, method calling","for loop, custom variables, method calling","background, bezier, createCanvas, draw, mouseX, noFill, setup, stroke","background, bezier, createCanvas, draw, mouseX, noFill, setup, stroke","animation, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,Yes,Grade 6,"bezier,",,,,,,1,,,,,Definitely needs detailed commenting on the bezier function and the math/numbers involved in it.,,1,"Setting the incrementor in the for loop to something like ""i += -20"" will kill the patch, but at that point you're taking about how math and for loops work. Maybe adding a comment would help, but it's not a problem with the sketch itself, per se.",No,4,No,No,,No,No,N/A,N/A or neither,0,1,0,0,No,Yes,Intermediate,,6,
10/27/2023 1:49:01,Lance Cole,Blur,https://p5js.org/examples/image-blur.html,87,"for loop, custom variables, method calling, object property assignment","for loop, custom variables, method calling, object property assignment","color, createCanvas, createImage, draw, get, height, image, loadImage, loadPixels, noLoop, preload, red, set, setup, updatePixels, width","color, createCanvas, createImage, draw, get, height, image, loadImage, loadPixels, noLoop, preload, red, set, setup, updatePixels, width",data visualization,"image, image loading, blur, image processing",Visual,Yes,No,No,No,,Yes,Grade 5 and below,"pixel, image, blend, low-pass filter, ",,,,,"I definitely wouldn't mind a condensed version of the processing file explanation at the top of the sketch. The intro here explains it, but is a bit sparse on the nitty-gritty of what's going on like the Processing sketch.",5,,,,,"Comments are very detailed which is definitely appreciated, but maybe some exposition beforehand on how kernels and the general arithmetic and matrix math behind everything ""works"". Then again, I assume that's what the Processing link is for, but it could still fly over a ""beginner/intermediate"" level coder's head here, or for that matter, people who haven't worked with matrices/arrays or linear algebra, to some extent.",,1,,Yes,5,No,No,,No,No,N/A,N/A or neither,2,8,0,0,No,Yes,Advanced,"It's actually very well commented and documented, but it just assumes a food foundation of math, loops, and multiple other math and programming concepts.",8,
10/29/2023 18:00:39,Caleb,Blur using Framebuffer Depth,https://p5js.org/examples/3d-blur-using-framebuffer-depth.html,100,"if/else, for loop, custom variables",none of the above,"ambientLight, ambientMaterial, background, color, createCanvas, createFramebuffer, createShader, directionalLight, draw, fill, height, millis, noStroke, pop, push, rect, resizeCanvas, rotateY, setup, shader, shininess, specularMaterial, sphere, translate, WEBGL, width, windowHeight, windowWidth","createFramebuffer, createShader, shader, WEBGL","3D, animation",,Visual,Difficult to determine based on combining ambient material and fill color,Yes,Yes,No,,Yes,Grade 5 and below,"p5.FrameBuffer, frame buffer, shader",,,,,,3,,,,,,"multiple materials, animation, rotation",4,,Yes,5,No,No,,No,No,Radians,N/A or neither,4,1,0,0,No,Yes,Advanced,,8,
11/1/2023 2:41:33,Lance Cole,Bounce,https://p5js.org/examples/motion-bounce.html,40,"if/else, custom variables, method calling","if/else, custom variables, method calling","background, createCanvas, draw, ellipse, ellipseMode, frameRate, height, noStroke, RADIUS, setup, width","draw, ellipse, ellipseMode, frameRate, height, RADIUS, setup, width",animation,,Visual,Yes,Yes,Yes,No,,Yes,Grade 5 and below,"height, width, ellipse, ellopseMode, ",,,,,,5,,,,,,,1,,Yes,4,No,No,,No,No,N/A,N/A or neither,7,0,0,0,No,No,Beginner,,8,
11/1/2023 2:58:50,Lance Cole,Bouncy Bubbles,https://p5js.org/examples/motion-bouncy-bubbles.html,91,"if/else, for loop, custom variables, custom functions, custom classes, method calling, object property assignment","if/else, for loop, custom variables, custom functions, custom classes, method calling","atan2, background, cos, createCanvas, draw, ellipse, fill, height, noStroke, random, setup, sin, sqrt, width","atan2, cos, createCanvas, draw, ellipse, fill, height, random, setup, sin, sqrt, width","animation, math",,Visual,Yes,Yes,Yes,No,,Yes,Grades 7 and above,"diameter, sqrt, cos, sin, ellipse",Just a double period on the end of the paragraph.,,,,"I feel like a bit of explanation on how the Ball class works/is assigned, and also a bit of a Cliff's Notes on collision detection.",1,,,,,,,1,"The only thing I'd say is that changing friction to anything below -1 very quickly makes the balls wig out (expected, but could be a flashing image warning).",Yes,4,No,No,,Yes,No,Degrees,N/A or neither,5,10,7,3,No,Yes,Intermediate,,6,
